# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.392e+00  8.246e-01  2.464e+00  8.835e+02  2.386e+01  5.169001e-01  0.000000e+00 -1.366989e-02 -8.328738e+02  7.951993e+01 -9.574361e+00   125     0
 1.390e+00  7.517e-01  2.457e+00  8.835e+02  2.495e+01  6.728875e-01  0.000000e+00 -1.659784e-03 -8.302657e+02  8.317807e+01 -1.907930e+01   126     0
 1.387e+00  6.784e-01  2.445e+00  8.802e+02  2.542e+01  7.402784e-01  0.000000e+00  1.369032e-02 -8.259328e+02  8.472996e+01 -2.844620e+01   127     0
 1.382e+00  6.046e-01  2.428e+00  8.745e+02  2.553e+01  7.629454e-01  0.000000e+00  2.788356e-02 -8.198956e+02  8.511081e+01 -3.760764e+01   128     0
 1.376e+00  5.305e-01  2.407e+00  8.665e+02  2.543e+01  7.583035e-01  0.000000e+00  3.983755e-02 -8.121827e+02  8.477271e+01 -4.649836e+01   129     0
 1.368e+00  4.562e-01  2.380e+00  8.567e+02  2.521e+01  7.358556e-01  0.000000e+00  4.943276e-02 -8.028305e+02  8.404062e+01 -5.505563e+01   130     0
 1.359e+00  3.816e-01  2.350e+00  8.451e+02  2.494e+01  7.017155e-01  0.000000e+00  5.681529e-02 -7.918831e+02  8.314072e+01 -6.321996e+01   131     0
 1.349e+00  3.069e-01  2.314e+00  8.318e+02  2.458e+01  6.601077e-01  0.000000e+00  6.219024e-02 -7.793917e+02  8.194161e+01 -7.093579e+01   132     0
 1.338e+00  2.321e-01  2.275e+00  8.169e+02  2.420e+01  6.141551e-01  0.000000e+00  6.576820e-02 -7.654145e+02  8.067955e+01 -7.815170e+01   133     0
 1.325e+00  1.574e-01  2.231e+00  8.005e+02  2.379e+01  5.661919e-01  0.000000e+00  6.776118e-02 -7.500163e+02  7.931551e+01 -8.482123e+01   134     0
 1.311e+00  8.272e-02  2.184e+00  7.828e+02  2.335e+01  5.179686e-01  0.000000e+00  6.838247e-02 -7.332679e+02  7.784980e+01 -9.090296e+01   135     0
 1.295e+00  8.251e-03  2.133e+00  7.636e+02  2.288e+01  4.708058e-01  0.000000e+00  6.784966e-02 -7.152458e+02  7.626203e+01 -9.636105e+01   136     0
 1.278e+00 -6.599e-02  2.078e+00  7.432e+02  2.236e+01  4.255747e-01  0.000000e+00  6.636822e-02 -6.960314e+02  7.452643e+01 -1.011655e+02   137     0
 1.260e+00 -1.399e-01  2.020e+00  7.216e+02  2.182e+01  3.829033e-01  0.000000e+00  6.414001e-02 -6.757113e+02  7.271752e+01 -1.052924e+02   138     0
 1.241e+00 -2.134e-01  1.958e+00  6.989e+02  2.121e+01  3.431020e-01  0.000000e+00  6.134185e-02 -6.543756e+02  7.069635e+01 -1.087240e+02   139     0
 1.221e+00 -2.865e-01  1.894e+00  6.752e+02  2.062e+01  3.063389e-01  0.000000e+00  5.813166e-02 -6.321186e+02  6.874910e+01 -1.114487e+02   140     0
 1.199e+00 -3.591e-01  1.828e+00  6.507e+02  1.999e+01  2.726496e-01  0.000000e+00  5.465114e-02 -6.090373e+02  6.663391e+01 -1.134615e+02   141     0
 1.176e+00 -4.310e-01  1.759e+00  6.254e+02  1.935e+01  2.419340e-01  0.000000e+00  5.100790e-02 -5.852312e+02  6.450795e+01 -1.147634e+02   142     0
 1.152e+00 -5.022e-01  1.688e+00  5.993e+02  1.866e+01  2.140327e-01  0.000000e+00  4.729097e-02 -5.608022e+02  6.220744e+01 -1.153618e+02   143     0
 1.127e+00 -5.728e-01  1.615e+00  5.728e+02  1.800e+01  1.887729e-01  0.000000e+00  4.356857e-02 -5.358534e+02  5.999361e+01 -1.152700e+02   144     0
 1.101e+00 -6.425e-01  1.540e+00  5.459e+02  1.732e+01  1.658880e-01  0.000000e+00  3.988054e-02 -5.104888e+02  5.774438e+01 -1.145071e+02   145     0
 1.073e+00 -7.113e-01  1.465e+00  5.186e+02  1.664e+01  1.450546e-01  0.000000e+00  3.623905e-02 -4.848133e+02  5.545277e+01 -1.130979e+02   146     0
 1.045e+00 -7.791e-01  1.388e+00  4.911e+02  1.595e+01  1.257633e-01  0.000000e+00  3.260106e-02 -4.589318e+02  5.316446e+01 -1.110723e+02   147     0
